"","year","name","firstname","lastname","position","heightfeet","heightinches","heightinchestotal","weight","arms","hands","fortyyd","twentyyd","tenyd","twentyss","threecone","vertical","broad","bench","round","college","pick","pickround","picktotal","wonderlic","nflgrade"
"1100",2012,"Marvin Jones","Marvin","Jones","WR","6","2.0000",74,199,33.125,10.25,4.46,0,1.57,4.11,6.81,33,112,22,5,"California","31(166)","31",166,0,0
"1104",2012,"Jermaine Kearse","Jermaine","Kearse","WR","6","0.0000",72,209,32.125,9.25,4.58,0,1.56,4.12,7.03,34,119,14,0,"","","0",0,0,0
"1127",2012,"Keshawn Martin","Keshawn","Martin","WR","5","11.0000",71,188,31.375,9.25,4.45,0,0,4.13,6.85,39,122,13,4,"Michigan State","26(121)","26",121,0,0
"1132",2012,"Rishard Matthews","Rishard","Matthews","WR","6","0.0000",72,217,32.5,9.125,4.62,0,1.57,4.19,6.88,36,0,20,7,"Nevada","20(227)","20",227,0,0
"1133",2012,"Marquis Maze","Marquis","Maze","WR","5","8.0000",68,186,29.75,9,4.51,0,0,0,0,33,112,0,0,"","","0",0,0,0
"1139",2012,"Marvin McNutt","Marvin","McNutt","WR","6","2.0000",74,216,32,10,4.54,0,0,4.07,7.15,37,122,0,6,"Iowa","24(194)","24",194,0,0
"1150",2012,"Kashif Moore","Kashif","Moore","WR","5","9.0000",69,180,31,9.625,4.42,0,0,4.05,6.82,43,126,19,0,"","","0",0,0,0
"1155",2012,"Derek Moye","Derek","Moye","WR","6","4.0000",76,209,32.75,8.25,4.52,0,0,4.23,6.96,33,115,10,0,"","","0",0,0,0
"1162",2012,"Chris Owusu","Chris","Owusu","WR","5","11.0000",71,196,31.75,8.5,4.36,0,0,4.11,6.85,40,129,19,0,"","","0",0,0,0
"1163",2012,"Eric Page","Eric","Page","WR","5","9.0000",69,186,29,9,4.6,0,0,3.98,6.95,30,112,15,0,"","","0",0,0,0
"1175",2012,"DeVier Posey","DeVier","Posey","WR","6","2.0000",74,211,31.625,9.625,4.5,0,1.45,4.15,7.03,36,123,14,3,"Ohio State","5(68)","5",68,0,0
"1183",2012,"Brian Quick","Brian","Quick","WR","6","4.0000",76,220,34.25,9.75,4.55,0,0,4.23,7.1,34,119,15,2,"Appalachian State","1(33)","1",33,0,0
"1186",2012,"Rueben Randle","Rueben","Randle","WR","6","3.0000",75,210,33,9.5,4.55,0,0,4.36,6.99,31,121,15,2,"LSU","31(63)","31",63,0,0
"1195",2012,"Gerell Robinson","Gerell","Robinson","WR","6","3.0000",75,227,33,10.125,4.62,0,0,4.15,0,35,113,0,0,"","","0",0,0,0
"1199",2012,"James Rodgers","James","Rodgers","WR","5","7.0000",67,184,29.625,8.75,4.67,0,0,4.23,0,37,115,19,0,"","","0",0,0,0
"1202",2012,"Mohamed Sanu","Mohamed","Sanu","WR","6","2.0000",74,211,33.5,10.125,4.67,0,0,4.22,6.88,36,126,19,3,"Rutgers","20(83)","20",83,0,0
"1217",2012,"Tommy Streeter","Tommy","Streeter","WR","6","4.0000",76,219,34.75,9.5,4.4,0,0,0,7.08,33,125,17,6,"Miami (FL)","28(198)","28",198,0,0
"1229",2012,"Nick Toon","Nick","Toon","WR","6","2.0000",74,215,32.5,9,4.54,0,0,0,0,37,132,18,4,"Wisconsin","27(122)","27",122,0,0
"1245",2012,"Jordan White","Jordan","White","WR","6","0.0000",72,208,31.5,9.25,4.69,0,0,4.13,6.84,35,119,14,7,"Western Michigan","37(244)","37",244,0,0
"1255",2012,"Jarius Wright","Jarius","Wright","WR","5","10.0000",70,182,31.5,8.5,4.42,0,1.45,4.03,6.93,38,120,11,4,"Arkansas","23(118)","23",118,0,0
"1256",2012,"Kendall Wright","Kendall","Wright","WR","5","10.2500",70.25,196,30.375,8.625,4.61,2.65,1.53,4.18,6.93,38.5,121,4,1,"Baylor","20(20)","20",20,0,0
"1257",2012,"Devon Wylie","Devon","Wylie","WR","5","9.0000",69,187,30.25,9.5,4.39,0,0,0,0,39,123,17,4,"Fresno State","12(107)","12",107,0,0
"1262",2011,"Darvin Adams","Darvin","Adams","WR","6","2.0000",74,190,34,9.25,4.56,0,0,0,0,0,0,0,0,"","","0",0,0,0
"1274",2011,"Jon Baldwin","Jon","Baldwin","WR","6","4.0000",76,228,33.53,10.125,4.49,2.57,1.58,4.34,7.07,42,129,20,0,"","","0",0,0,0
"1281",2011,"Armon Binns","Armon","Binns","WR","6","3.0000",75,209,32.5,9.5,4.5,2.55,1.55,4.31,6.86,31.5,118,13,0,"","","0",0,0,0
"1291",2011,"DeAndre Brown","DeAndre","Brown","WR","6","6.0000",78,233,33.25,9.625,4.59,0,0,4.33,6.93,29,117,20,0,"","","0",0,0,0
"1293",2011,"Vincent Brown","Vincent","Brown","WR","5","11.0000",71,187,33,10.25,4.68,0,0,4.25,6.64,33.5,121,12,3,"San Diego State","18(82)","18",82,0,0
"1296",2011,"Stephen Burton","Stephen","Burton","WR","6","1.0000",73,221,32,9.125,4.5,0,0,4.31,7.04,34.5,117,19,7,"West Texas A&M","33(236)","33",236,0,0
"1315",2011,"Randall Cobb","Randall","Cobb","WR","5","10.0000",70,191,31,9.375,4.46,2.53,1.56,4.34,7.08,33.5,115,16,2,"Kentucky","32(64)","32",64,0,0
"1325",2011,"Mark Dell","Mark","Dell","WR","6","0.0000",72,193,32.75,9.5,4.54,0,0,0,0,0,0,14,0,"","","0",0,0,0
"1331",2011,"Tandon Doss","Tandon","Doss","WR","6","2.0000",74,201,31.25,10.125,4.56,2.72,1.6,4.22,6.91,33.5,116,14,4,"Indiana","26(123)","26",123,0,0
"1346",2011,"Edmond Gates","Edmond","Gates","WR","6","1.0000",73,192,30.75,9.375,4.31,2.51,1.53,4.17,6.87,40,131,16,4,"Abilene Christian","14(111)","14",111,0,0
"1353",2011,"A.J. Green","A.J.","Green","WR","6","4.0000",76,211,34.375,9.25,4.48,2.53,1.55,4.21,6.91,34.5,126,18,1,"Georgia","4(4)","4",4,0,0
"1357",2011,"Tori Gurley","Tori","Gurley","WR","6","4.0000",76,216,35,9.75,4.53,0,0,4.25,7.05,33.5,118,15,0,"","","0",0,0,0
"1361",2011,"Leonard Hankerson","Leonard","Hankerson","WR","6","2.0000",74,209,32.25,10.625,4.4,2.53,1.51,4.21,6.94,36,117,14,3,"Miami (FL)","15(79)","15",79,0,0
"1365",2011,"Dwayne Harris","Dwayne","Harris","WR","5","10.0000",70,203,31.125,10.125,4.53,0,0,4.21,6.77,34,111,10,6,"East Carolina","11(176)","11",176,0,0
"1375",2011,"Andre Holmes","Andre","Holmes","WR","6","4.0000",76,210,34,8.625,4.51,0,0,4.31,6.69,35,130,11,0,"","","0",0,0,0
"1390",2011,"Lestar Jean","Lestar","Jean","WR","6","3.0000",75,215,33,9,4.61,0,0,4.43,7.45,37.5,113,14,0,"","","0",0,0,0
"1392",2011,"Jerrel Jernigan","Jerrel","Jernigan","WR","5","9.0000",69,185,32,9.25,4.46,2.54,1.56,4.25,7.07,37.5,117,11,3,"Troy","19(83)","19",83,0,0
"1396",2011,"Ronald Johnson","Ronald","Johnson","WR","5","11.0000",71,199,30.75,9,4.46,0,0,0,0,0,0,16,6,"USC","17(182)","17",182,0,0
"1398",2011,"Julio Jones","Julio","Jones","WR","6","3.0000",75,220,33.75,9.75,4.34,2.47,1.5,4.25,6.66,38.5,135,17,1,"Alabama","6(6)","6",6,0,0
"1405",2011,"Jeremy Kerley","Jeremy","Kerley","WR","5","10.0000",70,189,30,9,4.56,2.63,1.58,3.99,6.7,34.5,120,16,5,"TCU","22(153)","22",153,0,0
"1417",2011,"Greg Little","Greg","Little","WR","6","3.0000",75,231,33.25,9.125,4.51,0,0,4.21,6.8,40.5,129,27,2,"North Carolina","27(59)","27",59,0,0
"1422",2011,"Ricardo Lockette","Ricardo","Lockette","WR","6","2.0000",74,211,33.75,9.75,4.34,2.48,1.52,4.19,7.15,35.5,127,22,0,"","","0",0,0,0
"1425",2011,"Jeff Maehl","Jeff","Maehl","WR","6","1.0000",73,190,31.5,9.125,4.56,2.69,1.6,3.94,6.42,33.5,115,8,0,"","","0",0,0,0
"1443",2011,"Denarius Moore","Denarius","Moore","WR","6","1.0000",73,194,33,9.5,4.43,2.5,1.55,4.15,6.78,36,118,13,5,"Tennessee","17(148)","17",148,0,0
"1447",2011,"O.J. Murdock","O.J.","Murdock","WR","5","11.0000",71,197,32,9,4.53,0,0,4.37,0,34.5,116,15,0,"","","0",0,0,0
"1459",2011,"Niles Paul","Niles","Paul","WR","6","1.0000",73,224,31,8.875,4.45,0,0,4.14,6.9,34.5,117,24,5,"Nebraska","24(155)","24",155,0,0
"1462",2011,"Austin Pettis","Austin","Pettis","WR","6","3.0000",75,209,31.75,9.75,4.56,0,0,3.88,6.68,33.5,120,14,3,"Boise State","14(78)","14",78,0,0
"1464",2011,"Kealoha Pilares","Kealoha","Pilares","WR","5","10.0000",70,199,30.5,8.75,4.56,0,0,0,0,0,0,19,5,"Hawaii","1(132)","1",132,0,0
"1478",2011,"Aldrick Robinson","Aldrick","Robinson","WR","5","10.0000",70,184,29.5,8.75,4.35,0,0,4.09,6.65,40,126,17,6,"Southern Methodist","13(178)","13",178,0,0
"1486",2011,"Greg Salas","Greg","Salas","WR","6","1.0000",73,210,32,9.25,4.53,2.6,1.56,4.1,6.65,37,120,15,0,"","","0",0,0,0
"1487",2011,"DeMarco Sampson","DeMarco","Sampson","WR","6","2.0000",74,204,33,9.625,4.69,0,0,0,0,0,0,14,7,"San Diego State","46(249)","46",249,0,0
"1488",2011,"Jock Sanders","Jock","Sanders","WR","5","6.0000",66,181,28.25,8.875,4.5,0,0,4.13,6.78,34.5,121,19,0,"","","0",0,0,0
"1490",2011,"Dane Sanzenbacher","Dane","Sanzenbacher","WR","5","11.0000",71,182,30.5,8.25,4.56,0,0,3.97,6.46,33.5,118,0,0,"","","0",0,0,0
"1501",2011,"Cecil Shorts","Cecil","Shorts","WR","6","1.0000",73,205,31.625,9.25,4.5,0,0,4.07,6.5,34.5,114,21,4,"Mount Union","17(114)","17",114,0,0
"1509",2011,"Torrey Smith","Torrey","Smith","WR","6","1.0000",73,204,32.5,8.5,4.41,2.5,1.51,4.13,6.72,41,126,19,2,"Maryland","26(58)","26",58,0,0
"1513",2011,"Owen Spencer","Owen","Spencer","WR","6","2.0000",74,195,33.375,9.5,4.51,2.55,1.54,4.18,6.86,37.5,125,6,0,"","","0",0,0,0
"1531",2011,"Terrance Toliver","Terrance","Toliver","WR","6","4.0000",76,212,32,10,4.52,0,0,4.03,6.48,32,122,0,0,"","","0",0,0,0
"1540",2011,"Ryan Whalen","Ryan","Whalen","WR","6","1.0000",73,202,30,9,4.53,0,0,4.09,6.67,38.5,123,18,6,"Stanford","2(167)","2",167,0,0
"1550",2011,"Marshall Williams","Marshall","Williams","WR","6","1.0000",73,188,32,9.25,4.56,2.58,1.59,4.09,6.61,35.5,123,9,0,"","","0",0,0,0
"1561",2011,"Jimmy Young","Jimmy","Young","WR","6","1.0000",73,204,31.375,9,4.5,0,0,4.18,7.08,37,115,19,0,"","","0",0,0,0
"1562",2011,"Titus Young","Titus","Young","WR","5","11.0000",71,174,30.875,9,4.43,2.54,1.58,4.3,6.85,35,123,0,2,"Boise State","12(44)","12",44,0,0
"1564",2010,"Seyi Ajirotutu","Seyi","Ajirotutu","WR","6","4.0000",76,204,32.625,9.375,4.6,0,0,4.39,7.22,36,115,14,0,"","","0",0,0,0
"1572",2010,"Alric Arnett","Alric","Arnett","WR","6","2.0000",74,188,32.5,9,4.52,0,0,4.43,7.03,40,122,0,0,"","","0",0,0,0
"1578",2010,"Chris Bell","Chris","Bell","WR","6","2.0000",74,211,32.25,9.125,4.5,0,0,4.35,6.76,35,117,15,0,"","","0",0,0,0
"1580",2010,"Arrelious Benn","Arrelious","Benn","WR","6","1.0000",73,219,32.25,9.375,4.57,2.58,1.55,4.32,6.78,37,118,20,2,"Illinois","7(39)","7",39,0,0
"1588",2010,"Dezmon Briscoe","Dezmon","Briscoe","WR","6","2.0000",74,207,33.5,9.5,4.66,0,0,4.57,7.1,33,115,9,6,"Kansas","22(191)","22",191,0,0
"1590",2010,"Antonio Brown","Antonio","Brown","WR","5","10.0000",70,186,31,9,4.56,0,0,4.18,6.98,33.5,105,13,6,"Central Michigan","26(195)","26",195,0,0
"1596",2010,"Dez Bryant","Dez","Bryant","WR","6","2.0000",74,225,34,9.75,4.52,2.58,1.4,4.48,7.21,38,133,0,1,"Oklahoma State","24(24)","24",24,0,0
"1626",2010,"Riley Cooper","Riley","Cooper","WR","6","4.0000",76,222,32.625,10.375,4.53,0,0,0,0,33,114,0,5,"Florida","28(159)","28",159,0,0
"1632",2010,"Eric Decker","Eric","Decker","WR","6","3.0000",75,217,31,9.125,4.54,0,0,0,0,0,0,15,3,"Minnesota","23(87)","23",87,0,0
"1643",2010,"Marcus Easley","Marcus","Easley","WR","6","3.0000",75,210,32.75,8.5,4.39,2.52,1.52,4.6,6.94,34,123,16,4,"Connecticut","9(107)","9",107,0,0
"1647",2010,"Jacoby Ford","Jacoby","Ford","WR","5","9.0000",69,186,30.5,9.25,4.28,0,0,4.44,7,33.5,115,15,4,"Clemson","10(108)","10",108,0,0
"1654",2010,"David Gettis","David","Gettis","WR","6","3.0000",75,217,34,10,4.43,2.59,1.54,4.41,6.94,34.5,124,15,6,"Baylor","29(198)","29",198,0,0
"1657",2010,"Mardy Gilyard","Mardy","Gilyard","WR","6","1.0000",73,187,32.25,9.125,4.61,0,0,4.4,6.92,39,116,0,4,"Cincinnati","1(99)","1",99,0,0
"1675",2010,"Shay Hodge","Shay","Hodge","WR","6","1.0000",73,209,33,9.25,4.62,2.65,1.55,4.32,6.9,33.5,117,11,0,"","","0",0,0,0
"1676",2010,"Trindon Holliday","Trindon","Holliday","WR","5","5.0000",65,166,28.375,8.25,4.34,0,0,4.48,6.54,42,116,10,6,"LSU","28(197)","28",197,0,0
"1696",2010,"Donald Jones","Donald","Jones","WR","6","1.0000",73,214,32,9,4.46,0,0,4.2,6.9,41,119,20,0,"","","0",0,0,0
"1699",2010,"Kevin Jurovich","Kevin","Jurovich","WR","5","11.0000",71,182,30.5,9.5,4.49,0,0,0,0,0,0,14,0,"","","0",0,0,0
"1704",2010,"Brandon LaFell","Brandon","LaFell","WR","6","3.0000",75,211,32.75,8.75,4.58,2.68,1.55,4.23,6.81,36,115,11,3,"LSU","14(78)","14",78,0,0
"1717",2010,"Scott Long","Scott","Long","WR","6","2.0000",74,216,31.25,9.75,4.46,0,0,4.09,6.45,41.5,123,20,0,"","","0",0,0,0
"1725",2010,"Dexter McCluster","Dexter","McCluster","WR","5","9.0000",69,172,29.25,8.375,4.53,0,0,4.06,0,37.5,118,20,2,"Mississippi","4(36)","4",36,18,0
"1730",2010,"Chris McGaha","Chris","McGaha","WR","6","1.0000",73,201,31.75,10.125,4.52,0,0,4.21,0,40,122,19,0,"","","0",0,0,0
"1734",2010,"Kerry Meier","Kerry","Meier","WR","6","2.0000",74,224,32,9.375,4.62,0,0,4.23,0,35,115,13,5,"Kansas","34(165)","34",165,0,0
"1738",2010,"Carlton Mitchell","Carlton","Mitchell","WR","6","3.0000",75,215,33.5,10.625,4.46,2.6,1.52,4.55,6.96,36,122,16,6,"South Florida","8(177)","8",177,0,0
"1760",2010,"Jared Perry","Jared","Perry","WR","6","1.0000",73,178,32,9,4.51,0,0,4.39,6.75,33.5,121,11,0,"","","0",0,0,0
"1769",2010,"Taylor Price","Taylor","Price","WR","6","1.0000",73,204,31.25,9.5,4.4,0,0,4.34,6.82,37,114,16,3,"Ohio","26(90)","26",90,0,0
"1771",2010,"David Reed","David","Reed","WR","6","1.0000",73,191,31.75,9.375,4.56,0,0,4.38,6.95,37,114,15,5,"Utah","25(156)","25",156,0,0
"1774",2010,"Andre Roberts","Andre","Roberts","WR","5","11.0000",71,195,31.5,9.5,4.4,2.58,1.52,4.15,6.77,36,120,15,3,"Citadel","24(88)","24",88,0,0
"1782",2010,"Emmanuel Sanders","Emmanuel","Sanders","WR","5","11.0000",71,186,32,9.25,4.4,2.46,1.49,4.1,6.64,39.5,126,12,3,"Southern Methodist","18(82)","18",82,0,0
"1790",2010,"Jordan Shipley","Jordan","Shipley","WR","5","11.0000",71,193,30.5,9.625,4.6,0,0,0,0,36.5,116,16,3,"Texas","20(84)","20",84,0,0
"1804",2010,"Golden Tate","Golden","Tate","WR","5","10.0000",70,199,30.5,9.25,4.42,0,0,4.34,7.12,35,120,17,2,"Notre Dame","28(60)","28",60,0,0
"1810",2010,"Demaryius Thomas","Demaryius","Thomas","WR","6","3.2500",75.25,224,33,10.5,4.38,0,0,0,0,0,0,0,1,"Georgia Tech","22(22)","22",22,0,0
"1833",2010,"Blair White","Blair","White","WR","6","2.0000",74,209,31.5,9.25,4.49,0,0,4.03,6.69,33.5,115,18,0,"","","0",0,0,0
"1834",2010,"Damian Williams","Damian","Williams","WR","6","1.0000",73,197,31.75,9.25,4.52,0,0,4.24,6.79,38,118,19,3,"USC","13(77)","13",77,0,0
"1836",2010,"Jeremy Williams","Jeremy","Williams","WR","6","1.0000",73,206,31.5,10,4.59,0,0,0,6.73,36,117,14,0,"","","0",0,0,0
"1837",2010,"Kyle Williams","Kyle","Williams","WR","5","10.0000",70,188,30,9.125,4.4,0,0,4.19,7,33,118,11,6,"Arizona State","37(206)","37",206,0,0
"1838",2010,"Mike Williams","Mike","Williams","WR","6","2.0000",74,221,32.5,9.25,4.53,2.64,1.52,4.31,6.9,33.5,116,8,4,"Syracuse","3(101)","3",101,0,0
"1839",2010,"Stephen Williams","Stephen","Williams","WR","6","5.0000",77,210,33.25,9.125,4.5,2.52,1.48,4.11,6.81,36.5,125,15,0,"","","0",0,0,0
"1859",2009,"Ramses Barden","Ramses","Barden","WR","6","6.0000",78,229,34.5,10.75,4.55,0,0,4.26,0,33.5,118,17,3,"Cal Poly","21(85)","21",85,0,0
"1878",2009,"Kenny Britt","Kenny","Britt","WR","6","3.0000",75,218,34,9,4.49,2.62,1.56,4.47,0,37,124,23,1,"Rutgers","30(30)","30",30,0,0
"1890",2009,"Deon Butler","Deon","Butler","WR","5","11.0000",71,182,31,9.25,4.31,0,0,4.48,7.01,34.5,118,12,3,"Penn State","27(91)","27",91,0,0
"1892",2009,"Demetrius Byrd","Demetrius","Byrd","WR","6","1.0000",73,196,33.375,9,4.35,0,0,0,0,31.5,117,0,7,"LSU","15(224)","15",224,0,0
"1900",2009,"Jeremy Childs","Jeremy","Childs","WR","6","1.0000",73,200,33.75,9,4.62,0,0,4.26,6.9,33.5,115,0,0,"","","0",0,0,0
"1904",2009,"Austin Collie","Austin","Collie","WR","6","1.0000",73,200,31,9,4.56,0,0,4.24,6.78,34,120,17,4,"Brigham Young","27(127)","27",127,0,0
"1909",2009,"Quan Cosby","Quan","Cosby","WR","5","9.0000",69,196,30.25,9.25,4.5,0,0,4.47,7.28,0,0,0,0,"","","0",0,0,0
"1920",2009,"Jarett Dillard","Jarett","Dillard","WR","5","10.0000",70,191,30.875,8.125,4.52,0,0,4.41,7.1,42.5,129,13,5,"Rice","8(144)","8",144,0,0
"1922",2009,"Dominique Edison","Dominique","Edison","WR","6","2.0000",74,204,32.5,8.5,4.43,2.53,1.54,4.18,7.09,37,120,0,6,"Stephen F. Austin","33(206)","33",206,0,0
"1938",2009,"Brooks Foster","Brooks","Foster","WR","6","1.0000",73,201,32,9.625,4.45,0,0,0,0,0,0,27,5,"North Carolina","24(160)","24",160,0,0
"1961",2009,"Brian Hartline","Brian","Hartline","WR","6","2.0000",74,195,32,10,4.52,2.61,1.5,4.12,6.65,34.5,120,0,4,"Ohio State","8(108)","8",108,0,0
"1962",2009,"Percy Harvin","Percy","Harvin","WR","5","11.0000",71,192,31.625,9.375,4.39,2.51,1.47,0,0,37.5,121,19,1,"Florida","22(22)","22",22,12,0
"1964",2009,"Darrius Heyward-Bey","Darrius","Heyward-Bey","WR","6","2.0000",74,210,33.625,9,4.3,2.5,1.44,4.18,6.8,38.5,126,16,1,"Maryland","7(7)","7",7,0,0
"1973",2009,"Juaquin Iglesias","Juaquin","Iglesias","WR","6","1.0000",73,210,31,9.5,4.44,0,0,4.4,0,34.5,116,0,3,"Oklahoma","35(99)","35",99,0,0
"1993",2009,"Taurus Johnson","Taurus","Johnson","WR","6","1.0000",73,206,31.75,9.625,4.49,0,0,4.24,7.37,35.5,121,18,0,"","","0",0,0,0
"1994",2009,"Aaron Kelly","Aaron","Kelly","WR","6","5.0000",77,204,32.75,9.5,4.49,0,0,4.45,7.25,38,119,11,0,"","","0",0,0,0
"1999",2009,"Johnny Knox","Johnny","Knox","WR","6","1.0000",73,185,31,9,4.29,2.53,1.47,4.15,6.81,35,122,0,5,"Abilene Christian","4(140)","4",140,0,0
"2003",2009,"Quinten Lawrence","Quinten","Lawrence","WR","6","0.0000",72,184,30.25,8.25,4.4,0,0,0,0,0,0,20,6,"McNeese State","2(175)","2",175,0,0
"2012",2009,"Jeremy Maclin","Jeremy","Maclin","WR","6","1.0000",73,198,32.25,9.25,4.45,2.62,1.58,4.25,7.06,35.5,120,0,1,"Missouri","19(19)","19",19,25,0
"2019",2009,"Mohamed Massaquoi","Mohamed","Massaquoi","WR","6","2.0000",74,210,33.25,9.875,4.6,2.65,1.56,4.15,7.07,36.5,127,0,2,"Georgia","18(50)","18",50,0,0
"2028",2009,"Kenny McKinley","Kenny","McKinley","WR","6","1.0000",73,189,31.25,9,4.37,0,0,4.1,6.96,37,113,0,5,"South Carolina","5(141)","5",141,0,0
"2030",2009,"Andrew Means","Andrew","Means","WR","6","1.0000",73,214,31.5,9.5,4.46,0,0,4.21,6.85,34.5,116,12,0,"","","0",0,0,0
"2035",2009,"Marko Mitchell","Marko","Mitchell","WR","6","4.0000",76,218,34.5,10.25,4.43,0,0,4.33,7.04,32,116,9,7,"Nevada","34(243)","34",243,0,0
"2045",2009,"Louis Murphy","Louis","Murphy","WR","6","3.0000",75,203,33.625,10,4.32,2.58,1.48,4.45,6.95,34.5,117,12,4,"Florida","24(124)","24",124,0,0
"2048",2009,"Hakeem Nicks","Hakeem","Nicks","WR","6","1.0000",73,212,33.5,10.5,4.51,0,0,0,0,36,0,0,1,"North Carolina","29(29)","29",29,11,0
"2051",2009,"Kevin Ogletree","Kevin","Ogletree","WR","6","1.0000",73,196,31,9,4.36,0,0,4.08,6.67,36,122,0,0,"","","0",0,0,0
"2062",2009,"Darius Passmore","Darius","Passmore","WR","6","1.0000",73,188,33,8.875,4.51,0,0,0,0,33.5,0,0,0,"","","0",0,0,0
"2080",2009,"Brian Robiskie","Brian","Robiskie","WR","6","3.0000",75,209,31.5,9.625,4.46,2.62,1.53,4.19,6.72,37.5,0,0,2,"Ohio State","4(36)","4",36,0,0
"2099",2009,"Sammie Stroughter","Sammie","Stroughter","WR","5","10.0000",70,189,29.5,9,4.54,0,0,4.28,0,30,110,13,7,"Oregon State","24(233)","24",233,0,0
"2105",2009,"Mike Thomas","Mike","Thomas","WR","5","8.0000",68,195,31,9.375,4.3,0,0,4.28,6.65,40.5,126,0,4,"Arizona","7(107)","7",107,0,0
"2109",2009,"Tiquan Underwood","Tiquan","Underwood","WR","6","1.0000",73,184,32.25,8.5,4.31,0,0,4.11,6.62,41.5,129,7,7,"Rutgers","44(253)","44",253,0,0
"2119",2009,"Mike Wallace","Mike","Wallace","WR","6","1.0000",73,199,31.375,9,4.28,2.45,1.43,4.27,0,40,129,14,3,"Mississippi","20(84)","20",84,0,0
"2126",2009,"Derrick Williams","Derrick","Williams","WR","6","1.0000",73,194,31,9.25,4.65,0,0,0,0,33,0,15,3,"Penn State","18(82)","18",82,0,0
"2129",2009,"Jaison Williams","Jaison","Williams","WR","6","4.0000",76,237,33.75,9.75,4.63,0,0,4.56,7.37,35.5,118,14,0,"","","0",0,0,0
"2146",2008,"Donnie Avery","Donnie","Avery","WR","5","11.0000",71,192,30.25,9.75,4.43,2.58,1.5,3.91,6.3,37.5,126,16,2,"Houston","2(33)","2",33,0,0
"2153",2008,"Earl Bennett","Earl","Bennett","WR","6","1.0000",73,209,0,0,4.48,0,0,4.22,0,26,110,15,3,"Vanderbilt","7(70)","7",70,0,0
"2156",2008,"Davone Bess","Davone","Bess","WR","5","10.0000",70,194,0,0,4.64,2.61,1.53,4.27,6.97,31.5,118,12,0,"","","0",0,0,0
"2160",2008,"Todd Blythe","Todd","Blythe","WR","6","5.0000",77,214,0,0,4.65,0,0,4.23,0,31.5,118,0,0,"","","0",0,0,0
"2163",2008,"Adarius Bowman","Adarius","Bowman","WR","6","3.0000",75,223,0,0,4.74,0,0,0,0,0,0,14,0,"","","0",0,0,0
"2166",2008,"Mark Bradford","Mark","Bradford","WR","6","1.0000",73,211,0,0,4.69,0,0,4.47,0,36.5,120,19,0,"","","0",0,0,0
"2168",2008,"Brandon Breazell","Brandon","Breazell","WR","6","1.0000",73,160,0,0,4.41,0,0,0,0,30.5,115,0,0,"","","0",0,0,0
"2173",2008,"Dorien Bryant","Dorien","Bryant","WR","5","10.0000",70,174,0,0,4.49,0,0,4.24,0,0,119,0,0,"","","0",0,0,0
"2175",2008,"Keenan Burton","Keenan","Burton","WR","6","1.0000",73,201,34.125,9.25,4.44,2.55,1.5,4.2,6.77,38.5,125,10,4,"Kentucky","29(128)","29",128,0,0
"2176",2008,"Andre Caldwell","Andre","Caldwell","WR","6","1.0000",73,204,0,0,4.35,0,0,4.11,0,33,124,0,3,"Florida","34(97)","34",97,0,0
"2204",2008,"Harry Douglas","Harry","Douglas","WR","5","11.0000",71,176,0,0,4.51,0,0,4.12,0,31,120,0,3,"Louisville","21(84)","21",84,0,0
"2219",2008,"Will Franklin","Will","Franklin","WR","6","1.0000",73,214,0,0,4.37,0,0,0,0,34.5,0,0,4,"Missouri","6(105)","6",105,0,0
"2220",2008,"Pierre Garcon","Pierre","Garcon","WR","5","11.8750",71.875,210,31.125,9.5,4.42,2.56,1.5,4.19,6.9,36.5,125,20,6,"Mount Union","39(205)","39",205,0,0
"2234",2008,"Ryan Grice-Mullen","Ryan","Grice-Mullen","WR","5","10.0000",70,187,0,0,4.53,0,0,4.16,0,27.5,118,17,0,"","","0",0,0,0
"2240",2008,"D.J. Hall","D.J.","Hall","WR","6","2.0000",74,193,0,0,4.54,0,0,0,0,29.5,122,0,0,"","","0",0,0,0
"2241",2008,"James Hardy","James","Hardy","WR","6","6.0000",78,217,0,0,4.45,0,0,4.2,0,31.5,125,18,2,"Indiana","10(41)","10",41,0,0
"2242",2008,"Justin Harper","Justin","Harper","WR","6","4.0000",76,213,0,0,4.56,0,0,4.43,0,28.5,120,0,7,"Virginia Tech","8(215)","8",215,0,0
"2247",2008,"Lavelle Hawkins","Lavelle","Hawkins","WR","5","11.0000",71,187,0,0,4.57,0,0,0,0,0,117,14,4,"California","27(126)","27",126,0,0
"2254",2008,"Marcus Henry","Marcus","Henry","WR","6","4.0000",76,207,0,0,4.55,0,0,4.3,0,31.5,126,0,6,"Kansas","5(171)","5",171,0,0
"2262",2008,"Paul Hubbard","Paul","Hubbard","WR","6","3.0000",75,221,0,0,4.49,0,0,0,0,29.5,126,0,6,"Wisconsin","25(191)","25",191,0,0
"2266",2008,"DeSean Jackson","DeSean","Jackson","WR","5","10.0000",70,169,0,0,4.35,2.52,1.53,4.19,6.82,34.5,120,0,2,"California","18(49)","18",49,0,0
"2267",2008,"Dexter Jackson","Dexter","Jackson","WR","5","10.0000",70,182,0,0,4.33,0,0,4.38,0,29.5,122,0,2,"Appalachian State","27(58)","27",58,0,0
"2272",2008,"Jaymar Johnson","Jaymar","Johnson","WR","5","11.0000",71,177,0,0,4.5,0,0,4.18,0,32,118,14,6,"Jackson State","27(193)","27",193,0,0
