"","year","name","firstname","lastname","position","heightfeet","heightinches","heightinchestotal","weight","arms","hands","fortyyd","twentyyd","tenyd","twentyss","threecone","vertical","broad","bench","round","college","pick","pickround","picktotal","wonderlic","nflgrade"
"261",2015,"Ezell Ruffin","Ezell","Ruffin","WR","6","0.0000",72,218,0,0,4.68,0,0,4.58,7.35,27.5,110,17,0,"San Diego St.","","0",0,0,4.8
"277",2015,"DeAndre Smelter","DeAndre","Smelter","WR","6","2.0000",74,226,0,0,0,0,0,0,0,0,0,0,0,"Georgia Tech","","0",0,0,5.5
"280",2015,"Devin Smith","Devin","Smith","WR","6","0.0000",72,196,0,0,4.42,0,0,4.15,0,39,122,10,0,"Ohio St.","","0",0,0,5.7
"286",2015,"Jaelen Strong","Jaelen","Strong","WR","6","2.0000",74,217,0,0,4.44,0,0,0,0,42,123,0,0,"Arizona State","","0",0,0,5.8
"303",2015,"Darren Waller","Darren","Waller","WR","6","6.0000",78,238,0,0,4.46,0,0,4.25,7.07,37,125,12,0,"Georgia Tech","","0",0,0,5.4
"307",2015,"DeAndrew White","DeAndrew","White","WR","5","11.0000",71,193,0,0,4.44,0,0,4.18,6.97,34.5,118,0,0,"Alabama","","0",0,0,5.1
"308",2015,"Kevin White","Kevin","White","WR","6","3.0000",75,215,0,0,4.35,0,0,4.14,6.92,36.5,123,23,0,"West Virginia","","0",0,0,6.2
"321",2015,"Cam Worthy","Cam","Worthy","WR","6","2.0000",74,211,0,0,0,0,0,0,0,0,0,12,0,"East Carolina","","0",0,0,5
"325",2014,"Jared Abbrederis","Jared","Abbrederis","WR","6","1.0000",73,195,0,0,4.5,0,0,4.08,6.8,30.5,117,4,6,"Wisconsin","0","16",176,0,5.2
"326",2014,"Davante Adams","Davante","Adams","WR","6","1.0000",73,212,0,0,4.56,0,0,4.3,6.82,39.5,123,14,2,"Fresno St.","0","21",53,0,6
"338",2014,"Odell Beckham","Odell","Beckham","WR","5","11.0000",71,198,0,0,4.43,0,0,3.94,6.69,38.5,122,7,1,"LSU","0","12",12,0,5.9
"340",2014,"Kelvin Benjamin","Kelvin","Benjamin","WR","6","5.0000",77,240,0,0,4.61,0,0,4.39,7.33,32.5,119,13,1,"Florida St.","0","28",28,0,6.4
"353",2014,"Chris Boyd","Chris","Boyd","WR","6","4.0000",76,206,0,0,4.73,0,0,0,0,0,0,12,0,"Vanderbilt","0","0",0,0,5.2
"361",2014,"Corey Brown","Corey","Brown","WR","5","11.0000",71,178,0,0,4.51,0,0,4.22,7.16,33,116,0,0,"Ohio St.","0","0",0,0,4.9
"362",2014,"John Brown","John","Brown","WR","5","10.0000",70,179,0,0,4.34,0,0,4.12,6.91,36.5,119,0,3,"Pittsburg St. (KS)","0","27",91,0,5
"365",2014,"Martavis Bryant","Martavis","Bryant","WR","6","4.0000",76,211,0,0,4.42,0,0,4.15,7.18,39,124,16,4,"Clemson","0","22",118,0,5.3
"368",2014,"Isaiah Burse","Isaiah","Burse","WR","5","10.0000",70,188,0,0,4.58,0,0,3.94,6.74,31,115,16,0,"Fresno St.","0","0",0,0,5.2
"370",2014,"Mike Campanaro","Mike","Campanaro","WR","5","9.0000",69,192,0,0,4.46,0,0,4.01,6.77,39,122,20,7,"Wake Forest","0","26",218,0,5.1
"380",2014,"Brandon Coleman","Brandon","Coleman","WR","6","6.0000",78,225,0,0,4.56,0,0,4.51,7.33,32.5,0,21,0,"Rutgers","0","0",0,0,5.4
